age,hours,capital_gain,sex,education,income
44,53,339.16,male,low,>50K
32,31,2049.78,male,high,>50K
19,24,7620.96,male,medium,<=50K
55,39,6765.71,female,low,<=50K
49,30,690.56,female,medium,>50K
52,23,10881.13,female,medium,>50K
46,52,13499.19,female,medium,>50K
53,28,3628.54,female,high,>50K
22,54,9436.21,female,low,<=50K
47,50,2247.23,female,medium,>50K
64,34,14111.08,female,high,>50K
64,53,2.85,female,medium,>50K
59,32,12095.4,female,low,>50K
31,37,5565.04,female,low,<=50K
30,33,14875.27,female,high,>50K
62,22,4515.36,male,medium,>50K
56,31,12107.52,male,medium,>50K
33,48,7098.06,female,low,<=50K
19,59,7892.52,male,medium,>50K
23,53,5014.69,female,high,>50K
53,35,8659.78,male,low,<=50K
40,56,6734.73,female,medium,>50K
21,35,5749.79,male,high,>50K
63,42,1881.47,female,high,>50K
31,33,3927.96,female,low,<=50K
30,37,5565.04,male,medium,>50K
35,44,14741.46,female,high,>50K
39,36,3105.43,female,high,>50K
25,35,10075.41,female,low,<=50K
51,27,14252.03,male,low,>50K
24,36,11462.4,male,medium,>50K
29,48,8259.12,female,high,>50K
64,45,8181.85,male,medium,>50K
56,35,11043.51,female,medium,>50K
48,42,9989.36,female,high,>50K
61,51,11432.96,female,medium,>50K
41,27,2705.04,male,high,>50K
59,45,11989.05,male,high,>50K
22,33,3303.49,female,medium,>50K
39,54,9024.96,female,low,<=50K
35,25,6298.78,male,medium,>50K
45,58,9785.23,male,high,>50K
50,51,457.98,female,medium,>50K
29,31,7434.33,female,high,>50K
58,58,11432.96,female,medium,>50K
45,37,10758.61,male,high,>50K
53,22,6717.88,female,medium,>50K
36,37,4845.81,male,high,>50K
46,52,7276.91,female,high,>50K
63,50,4442.4,male,high,>50K
23,58,7892.52,male,medium,>50K
59,45,7089.26,female,low,>50K
52,29,3341.87,female,medium,>50K
41,24,2919.14,female,medium,>50K
26,26,13465.48,female,high,<=50K
64,53,4442.4,male,low,<=50K
60,40,4407.35,female,medium,>50K
46,29,690.56,female,medium,>50K
62,34,7454.02,male,medium,>50K
45,47,11455.88,female,low,>50K
51,31,3628.54,female,medium,>50K
47,57,10749.07,male,high,>50K
43,48,1855.58,female,low,>50K
49,31,12897.71,female,medium,>50K
44,26,9752.96,male,high,>50K
37,20,11699.17,male,high,<=50K
44,53,178.65,male,low,>50K
56,21,8885.44,female,medium,>50K
51,40,5491.2,female,medium,>50K
55,52,5661.95,female,low,<=50K
56,39,2485.97,female,high,>50K
25,35,14345.02,female,low,<=50K
36,44,13152.27,female,high,>50K
19,39,2284.42,female,low,<=50K
53,35,7969.42,male,high,>50K
28,31,4068.1,female,medium,>50K
63,29,237.79,male,medium,>50K
44,59,2740.03,male,low,>50K
41,24,200.86,male,low,>50K
22,33,3303.49,female,high,>50K
48,26,14014.29,female,low,<=50K
45,47,3377.45,male,high,>50K
50,40,10627.49,female,low,<=50K
61,20,3685.16,male,medium,>50K
62,32,9830.27,male,high,>50K
35,58,7740.65,male,high,>50K
52,30,3628.54,female,medium,>50K
53,51,10593.53,male,low,<=50K
38,35,367.33,female,high,>50K
52,30,685.69,male,medium,>50K
19,52,14574.47,male,high,>50K
27,38,11576.58,female,low,<=50K
32,31,5338.59,male,high,>50K
36,45,14741.46,male,high,>50K
32,27,4157.1,female,low,<=50K
51,31,1835.51,male,high,>50K
60,30,2157.38,male,high,>50K
23,48,13942.67,female,low,<=50K
32,36,5565.04,male,high,>50K
19,43,2284.42,male,medium,>50K
28,42,9846.63,female,medium,>50K
63,58,3728.37,female,medium,>50K
63,42,1881.47,female,high,>50K
28,26,4743.33,female,high,<=50K
39,43,1105.59,male,low,>50K
24,56,1271.38,female,low,>50K
63,38,7454.02,female,high,>50K
32,31,7840.15,female,high,>50K
19,54,6434.1,male,medium,>50K
45,27,11547.3,male,medium,>50K
23,59,7892.52,male,high,>50K
24,22,11289.71,female,medium,>50K
51,49,11603.34,male,high,>50K
56,57,4836.91,male,high,>50K
25,53,488.59,male,high,>50K
48,34,5564.9,female,high,>50K
36,38,6138.77,male,high,>50K
47,26,8013.47,female,high,>50K
22,46,13235.8,male,high,>50K
46,35,4213.07,male,low,<=50K
20,52,12213.36,female,high,>50K
45,58,14882.52,male,high,>50K
25,35,11640.47,male,high,>50K
41,40,2549.83,female,high,>50K
53,20,10678.32,female,high,>50K
31,54,5277.29,male,low,<=50K
53,51,5661.95,female,low,<=50K
43,51,8933.32,male,low,<=50K
41,41,9628.6,male,medium,>50K
39,36,10758.61,male,high,>50K
41,39,11933.53,female,low,>50K
23,48,11850.23,female,high,>50K
28,59,1146.59,male,low,>50K
45,21,11547.3,female,low,>50K
45,27,7190.64,female,low,<=50K
24,22,12777.86,male,high,<=50K
37,20,8728.54,female,low,<=50K
18,39,2284.42,female,low,<=50K
50,46,4362.75,female,low,>50K
61,43,11989.05,male,high,>50K
27,35,11213.79,female,medium,>50K
45,38,11619.78,male,medium,>50K
19,23,7573.34,male,medium,<=50K
20,59,11384.99,female,medium,>50K
23,40,12459.47,female,high,>50K
42,32,11360.43,female,low,>50K
57,53,2750.34,female,high,>50K
21,45,9869.74,female,medium,>50K
18,32,14643.68,male,high,>50K
45,26,1676.22,male,high,>50K
26,53,488.59,male,low,<=50K
30,21,11510.79,male,medium,>50K
25,35,4888.25,male,low,<=50K
64,43,10100.39,male,high,>50K
61,42,1828.53,female,high,>50K
53,51,10593.53,male,low,<=50K
45,47,5650.59,female,medium,>50K
28,56,1146.59,male,low,<=50K
21,42,2740.68,male,high,>50K
44,48,9151.64,female,low,>50K
55,55,3170.78,female,low,>50K
23,48,13942.67,female,low,<=50K
60,40,3893.23,male,high,>50K
54,55,4836.91,male,medium,>50K
63,32,10981.2,male,medium,>50K
59,43,11989.05,male,high,>50K
25,35,14345.02,female,low,<=50K
61,49,11249.34,female,medium,>50K
20,59,11384.99,female,medium,>50K
58,33,7087.01,female,medium,>50K
37,44,6508.37,male,low,>50K
61,49,2994.68,female,low,>50K
30,25,5977.18,female,low,<=50K
61,24,3685.16,male,low,<=50K
52,55,424.29,male,low,>50K
37,52,8933.32,female,high,>50K
19,54,8915.62,female,low,<=50K
54,34,8659.78,male,low,<=50K
36,45,10591.62,female,low,>50K
39,33,1193.27,female,low,>50K
47,26,2597.86,female,high,>50K
45,21,11547.3,female,low,<=50K
60,31,12107.52,male,high,>50K
52,49,2982.39,female,low,>50K
58,51,10749.12,male,high,>50K
58,45,11989.05,male,high,>50K
59,40,3893.23,female,medium,>50K
61,55,1784.48,female,high,>50K
36,36,11719.58,male,high,>50K
44,49,9212.36,female,medium,>50K
45,21,8013.47,female,medium,>50K
42,58,11843.17,female,high,>50K
32,48,7098.06,male,medium,>50K
58,45,14556.74,male,medium,>50K
36,44,6802.86,female,low,>50K
58,33,1193.27,male,medium,>50K
53,32,2301.82,male,high,>50K
49,49,11603.34,female,low,>50K
23,40,14345.02,male,low,<=50K
58,51,5700.12,male,high,>50K
47,52,6595.49,male,low,<=50K
32,36,7682.24,male,medium,>50K
52,45,3770.38,female,low,>50K
64,46,10100.39,male,low,>50K
44,53,178.65,male,high,>50K
20,31,6294.5,male,medium,>50K
19,23,14643.68,male,high,<=50K
61,51,11432.96,male,medium,>50K
53,36,11619.78,female,low,<=50K
55,35,5134.45,male,high,>50K
22,29,6294.5,female,high,>50K
32,48,7858.45,male,medium,>50K
39,41,57.31,female,low,>50K
52,22,4902.72,male,high,>50K
19,43,4391.29,female,low,>50K
39,43,1105.59,male,high,>50K
59,32,7514.07,female,medium,>50K
21,42,5352.57,male,low,<=50K
24,56,2952.95,male,high,>50K
38,35,11719.58,female,low,>50K
24,51,5048.38,female,low,<=50K
33,37,7682.24,male,medium,>50K
63,52,3470.59,male,medium,>50K
64,34,7454.02,male,medium,>50K
63,31,9429.42,male,high,>50K
28,36,11576.58,female,medium,>50K
20,43,10038.06,female,high,>50K
35,27,14463.17,female,high,>50K
32,54,5097.17,male,low,<=50K
25,25,8525.57,female,low,<=50K
21,45,13355.43,male,low,<=50K
59,27,10962.14,female,medium,>50K
22,32,7412.99,female,high,>50K
43,28,7434.33,female,low,<=50K
21,34,5749.79,male,high,>50K
61,28,237.79,male,medium,>50K
20,28,7552.54,male,medium,>50K
28,36,2606.83,male,high,>50K
27,34,11576.58,female,low,<=50K
23,59,12876.53,male,medium,>50K
40,51,5336.36,male,low,>50K
39,20,2705.04,male,low,<=50K
30,43,2809.21,male,low,<=50K
54,53,8616.16,female,medium,>50K
62,49,11249.34,female,medium,>50K
29,42,6404.36,male,medium,>50K
31,37,7682.24,male,medium,>50K
52,46,1841.35,male,high,>50K
55,39,12799.65,male,high,>50K
32,47,3377.45,male,medium,>50K
49,43,98.98,female,medium,>50K
40,56,9626.52,male,low,>50K
62,34,14111.08,male,low,<=50K
56,39,11933.53,female,low,>50K
36,45,10149.07,female,low,>50K
48,59,3183.39,male,low,>50K
57,53,3985.62,female,medium,>50K
41,24,4597.61,female,medium,>50K
36,45,14741.46,female,low,>50K
45,58,13499.19,female,high,>50K
40,51,7918.28,female,medium,>50K
59,23,1170.8,female,medium,>50K
53,28,11326.77,male,medium,>50K
60,30,9354.26,male,medium,>50K
20,34,8510.58,female,low,<=50K
55,41,11851.92,female,low,>50K
61,28,11514.26,male,medium,>50K
30,43,8357.06,female,medium,>50K
59,27,5472.86,male,high,>50K
20,49,13355.43,male,low,>50K
22,29,2908.77,female,medium,>50K
40,24,4435.31,female,medium,>50K
37,34,367.33,female,high,>50K
35,27,14463.17,male,low,<=50K
58,45,8461.98,male,medium,>50K
29,26,5692.3,male,high,>50K
61,47,5634.63,male,low,>50K
32,21,6895.12,female,high,>50K
25,40,11640.47,female,high,>50K
57,23,9761.5,female,high,>50K
48,33,231.2,female,medium,>50K
20,28,6294.5,female,medium,>50K
47,23,8013.47,male,low,<=50K
53,44,2982.39,male,low,>50K
35,44,10591.62,male,high,>50K
59,40,417.24,male,medium,>50K
22,54,8915.62,female,low,<=50K
64,44,8181.85,male,medium,>50K
21,47,13355.43,male,high,>50K
39,20,4597.61,female,medium,<=50K
26,24,12777.86,male,high,<=50K
60,27,1170.8,male,medium,>50K
35,27,14463.17,female,high,<=50K
40,44,8989.61,male,medium,>50K
35,27,11464.8,male,medium,>50K
61,28,237.79,male,medium,>50K
60,27,6601.49,female,medium,>50K
26,26,13465.48,female,high,<=50K
37,37,367.33,male,high,>50K
64,36,14111.08,female,high,>50K
20,48,10038.06,male,high,>50K
57,23,3653.59,female,medium,>50K
27,34,9690.23,female,medium,>50K
55,34,14929.5,female,medium,>50K
51,40,14815.06,female,medium,<=50K
58,58,516.1,male,medium,>50K
25,45,11850.23,female,high,>50K
52,55,424.29,male,low,>50K
26,53,12557.95,female,high,>50K
29,31,2049.78,male,low,>50K
42,34,11499.91,male,medium,>50K
59,43,9873.8,male,high,>50K
32,53,9663.01,male,low,<=50K
25,25,8525.57,female,low,<=50K
30,31,2472.96,male,high,>50K
35,44,6802.86,male,medium,>50K
62,49,14992.52,male,medium,>50K
30,40,8236.2,male,high,>50K
33,32,12848.58,female,high,>50K
42,32,9795.8,female,low,>50K
24,43,14097.13,female,high,>50K
59,22,10962.14,female,medium,>50K
24,25,12777.86,female,high,<=50K
30,40,8236.2,male,high,>50K
37,26,11464.8,male,medium,>50K
61,42,6257.63,female,medium,>50K
45,42,9628.6,male,medium,>50K
21,42,8510.58,female,medium,>50K
63,48,10211.41,female,medium,>50K
57,47,14992.52,male,medium,>50K
51,31,1835.51,male,medium,>50K
56,51,10593.53,male,low,<=50K
63,58,2.85,male,low,>50K
51,38,5334.56,female,medium,>50K
35,27,6440.56,male,medium,>50K
26,53,8646.3,female,high,>50K
42,32,12848.58,female,high,>50K
44,48,10960.59,female,low,>50K
53,57,12216.21,female,high,>50K
42,58,6369.27,male,medium,>50K
63,56,210.89,male,medium,>50K
45,37,13413.91,female,medium,>50K
22,46,14097.13,female,low,<=50K
61,42,417.24,female,medium,>50K
32,31,8522.88,female,medium,>50K
31,58,13432.11,female,medium,>50K
56,39,11933.53,female,low,<=50K
22,54,6434.1,male,medium,>50K
59,22,1170.8,male,medium,>50K
56,41,6466.99,male,low,>50K
57,35,11043.51,female,medium,>50K
62,49,2994.68,female,low,>50K
32,21,3709.27,female,medium,<=50K
53,36,10758.61,male,high,>50K
44,52,8933.32,male,low,<=50K
53,36,3105.43,female,low,<=50K
60,44,14503.18,male,medium,>50K
44,53,1280.08,female,low,>50K
28,31,2049.78,female,low,<=50K
44,52,4477.61,female,high,>50K
51,31,1835.51,male,high,>50K
51,31,3628.54,female,high,>50K
57,36,9426.88,male,medium,>50K
20,48,10038.06,male,high,>50K
45,47,5661.66,female,low,>50K
22,29,2908.77,male,medium,>50K
21,45,9869.74,female,medium,>50K
41,27,4435.31,female,high,>50K
64,31,2051.51,male,high,>50K
19,29,1992.07,female,high,>50K
35,58,8556.47,male,high,>50K
40,24,2919.14,female,medium,>50K
30,59,4438.9,female,high,>50K
19,39,12304.62,male,high,>50K
62,49,14992.52,female,medium,<=50K
30,33,1193.27,female,high,>50K
47,50,3592.63,female,high,>50K
52,30,1835.51,male,medium,>50K
52,55,2591.11,male,high,>50K
62,30,7128.37,male,medium,>50K
62,31,9830.27,male,high,>50K
49,49,12021.65,male,high,>50K
49,47,3377.45,male,medium,>50K
19,24,9313.63,male,high,>50K
35,34,7682.24,female,medium,>50K
45,42,8439.92,male,high,>50K
60,30,2157.38,male,high,>50K
21,27,10630.53,male,medium,>50K
35,32,8737.53,female,medium,>50K
30,33,6011.17,male,high,>50K
59,21,8793.96,male,low,<=50K
18,39,4367.95,male,low,>50K
63,57,8423.8,male,high,>50K
51,38,12719.54,male,low,>50K
35,34,5565.04,male,medium,>50K
58,45,12656.77,female,high,>50K
41,26,200.86,female,high,>50K
55,39,10311.23,male,high,>50K
56,31,9354.26,male,medium,>50K
27,34,9955.26,female,high,>50K
28,50,5675.54,male,medium,>50K
21,45,4757.69,male,high,>50K
20,49,9869.74,female,low,>50K
57,23,1219.86,male,medium,>50K
28,42,2606.83,female,high,>50K
38,44,14029.04,female,medium,>50K
45,58,14882.52,male,high,>50K
43,28,7434.33,female,high,>50K
21,23,1130.83,female,low,<=50K
56,23,5583.62,female,high,>50K
41,40,13431.25,female,medium,>50K
64,44,13335.69,female,medium,>50K
50,51,2591.11,male,low,>50K
38,55,3247.92,male,high,>50K
53,36,3105.43,female,high,>50K
51,48,1855.58,female,high,>50K
35,27,6298.78,male,medium,>50K
39,33,14875.27,female,medium,>50K
24,47,11132.17,female,medium,>50K
32,21,6895.12,female,medium,>50K
34,59,13430.43,male,high,>50K
20,25,1729.18,female,low,<=50K
